Population (Millions of people),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Egypt,40.554,41.706,42.846,44.015,45.237,46.545,47.751,48.8,49.8,50.9,51.36,52.423,53.508,54.615,55.746,56.9,58.2,59.4,60.7,62,63.771,65.182,66.531,67.908,69.313,70.748,72.212,73.644,75.229,76.925,78.728,80.5,82.4,84.7,86.7,89,90.2,94.8,96.98,99.211,101.493,103.827,106.215,108.658,112.244
El Salvador,4.711,4.765,4.802,4.831,4.861,4.9,4.95,5.01,5.08,5.16,5.25,5.33,5.4,5.47,5.54,5.61,5.67,5.73,5.78,5.83,5.87,5.91,5.94,5.97,6,6.03,6.074,6.097,6.121,6.153,6.193,6.239,6.29,6.344,6.401,6.46,6.521,6.582,6.641,6.701,6.763,6.825,6.888,6.951,7.014
Equatorial Guinea,0.255,0.27,0.291,0.314,0.338,0.359,0.376,0.39,0.402,0.414,0.427,0.441,0.455,0.471,0.487,0.505,0.524,0.545,0.567,0.59,0.614,0.64,0.666,0.695,0.725,0.757,0.792,0.829,0.868,0.909,0.951,0.994,1.039,1.084,1.129,1.175,1.221,1.268,1.314,1.36,1.406,1.452,1.498,1.544,1.59
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.427,3.422,3.426,3.453,3.507,3.583,3.683,3.802,3.867,3.988,4.109,4.231,4.354,4.477,4.6,4.724,4.848,4.972,5.095,5.218,5.34,5.461,5.581,5.7,5.817,5.933,6.047,6.159,6.269,6.376,6.48,6.582,6.681
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.553,1.558,1.555,1.543,1.499,1.465,1.437,1.416,1.4,1.386,1.39,1.397,1.388,1.379,1.371,1.363,1.355,1.347,1.341,1.337,1.335,1.331,1.327,1.323,1.318,1.315,1.315,1.316,1.317,1.319,1.319,1.32,1.32,1.32,1.32,1.319
Eswatini,0.557,0.574,0.59,0.608,0.628,0.652,0.679,0.709,0.74,0.77,0.797,0.819,0.838,0.855,0.872,0.89,0.909,0.93,0.939,0.947,0.956,0.965,0.974,0.983,0.992,1.001,1.01,1.018,1.026,1.033,1.041,1.048,1.056,1.063,1.071,1.078,1.086,1.093,1.101,1.109,1.116,1.124,1.132,1.14,1.148
Ethiopia,34.32,35.148,36.151,37.294,38.52,39.786,41.084,42.424,43.815,45.273,46.807,48.42,50.096,51.812,53.531,55.23,56.898,58.544,60.179,61.826,63.5,65.405,67.22,71.342,73.197,75.1,77.053,79.056,80.321,81.606,82.912,84.238,85.586,86.955,88.347,89.76,91.196,92.656,94.138,95.644,97.175,98.729,100.309,101.914,103.545
Fiji,0.634,0.649,0.666,0.683,0.698,0.709,0.715,0.718,0.719,0.733,0.739,0.745,0.751,0.757,0.763,0.769,0.775,0.781,0.786,0.792,0.798,0.803,0.809,0.815,0.82,0.826,0.832,0.837,0.841,0.845,0.849,0.853,0.858,0.862,0.866,0.869,0.877,0.885,0.89,0.895,0.9,0.905,0.91,0.915,0.92
Finland,4.771,4.788,4.812,4.842,4.87,4.894,4.911,4.926,4.939,4.954,4.974,4.998,5.029,5.055,5.078,5.099,5.117,5.132,5.147,5.16,5.171,5.181,5.195,5.206,5.22,5.237,5.256,5.277,5.3,5.326,5.351,5.375,5.401,5.427,5.451,5.472,5.487,5.503,5.524,5.543,5.561,5.579,5.597,5.613,5.628
France,53.731,54.029,54.335,54.65,54.895,55.157,55.411,55.682,55.966,56.27,56.577,56.841,57.111,57.369,57.565,57.753,57.936,58.116,58.299,58.497,58.858,59.267,59.686,60.102,60.505,60.963,61.4,61.795,62.135,62.466,62.765,63.07,63.376,63.698,64.028,64.301,64.469,64.618,64.725,65.021,65.319,65.618,65.918,66.22,66.523
Gabon,0.748,0.765,0.781,0.799,0.816,0.834,0.852,0.871,0.89,0.91,0.93,0.96,0.99,1.014,1.039,1.065,1.092,1.119,1.147,1.176,1.205,1.235,1.266,1.298,1.33,1.364,1.398,1.44,1.494,1.551,1.61,1.671,1.735,1.803,1.868,1.93,1.98,2.025,2.053,2.08,2.108,2.135,2.161,2.187,2.213
"Gambia, The",0.565,0.6,0.622,0.647,0.673,0.701,0.729,0.759,0.79,0.823,0.856,0.891,0.928,0.982,1.016,1.048,1.079,1.128,1.161,1.195,1.232,1.27,1.311,1.354,1.399,1.444,1.491,1.539,1.589,1.64,1.692,1.746,1.802,1.859,1.918,1.978,2.039,2.103,2.169,2.238,2.309,2.382,2.457,2.534,2.614
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.453,5.467,5.346,4.93,4.742,4.573,4.41,4.29,4.198,4.117,4.038,3.991,3.966,3.938,3.917,3.888,3.873,3.848,3.829,3.8,3.774,3.739,3.718,3.717,3.722,3.729,3.726,3.71,3.693,3.676,3.707,3.737,3.768,3.798
Germany,76.843,76.988,76.933,76.664,76.355,76.166,76.219,76.233,76.697,77.463,78.949,79.973,80.5,80.947,81.148,81.308,81.467,81.51,81.446,81.423,81.457,81.518,81.579,81.549,81.457,81.337,81.174,80.993,80.764,80.483,80.285,80.276,80.427,80.647,80.983,81.687,82.349,82.657,82.886,82.952,82.96,82.909,82.848,82.776,82.692
Ghana,10.704,10.961,11.226,11.501,12.296,12.572,12.859,13.155,13.462,13.779,14.106,14.443,14.791,15.15,15.52,15.902,16.297,16.703,17.121,17.55,18.912,19.397,19.883,20.371,20.859,21.367,21.876,22.388,22.901,23.417,24.659,25.261,25.867,26.479,27.092,27.707,28.324,28.94,29.555,30.168,30.779,31.282,32.082,32.902,33.743
Greece,9.584,9.701,9.758,9.821,9.872,9.92,9.949,9.985,10.016,10.058,10.121,10.273,10.367,10.431,10.49,10.536,10.588,10.629,10.693,10.748,10.776,10.836,10.888,10.916,10.94,10.97,11.005,11.036,11.061,11.095,11.119,11.123,11.086,11.004,10.927,10.858,10.784,10.768,10.736,10.682,10.629,10.574,10.52,10.466,10.412
