Population (Millions of people),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Emerging and Developing Europe,125.47,127.042,128.62,130.364,131.891,133.347,134.74,136.062,137.191,138.284,144.104,145.312,148.003,148.7,149.344,149.945,154.481,162.858,163.463,164.227,166.647,167.099,167.239,167.76,168.588,169.212,169.855,170.469,170.8,171.574,172.356,172.87,173.52,174.336,175.067,175.813,176.58,177.303,178.273,179.167,180.052,180.916,181.77,182.605,183.484
Emerging market and developing economies,3174.183,3239.759,3308.623,3375.812,3444.88,3516.501,3589.868,3664.637,3739.132,3961.892,4134.183,4218.679,4357.789,4433.057,4510.07,4581.535,4661.058,4740.503,4857.14,4928.477,5001.428,5093.344,5164.329,5265.56,5338.958,5412.321,5484.916,5558.299,5635.323,5709.198,5784.523,5841.434,5921.431,5999.677,6077.332,6155.571,6235.132,6317.608,6393.871,6471.166,6548.825,6627.774,6707.334,6784.601,6864.361
Euro area,300.026,301.427,302.419,303.14,303.6,304.05,304.641,305.452,306.228,307.433,308.842,310.262,311.611,313.112,314.122,314.879,315.679,316.448,318.756,319.374,320.375,321.447,322.82,324.574,326.314,328.141,329.685,331.205,333.097,334.47,335.266,334.573,335.289,336.045,337.763,338.562,339.788,340.535,341.153,342.167,342.828,343.419,343.979,344.511,345.013
European Union,432.198,433.991,435.128,436.241,437.027,437.964,439.023,439.99,441.231,444.438,451.635,454.048,460.125,466.633,467.385,481.806,482.427,483.032,483.511,484.29,485.041,485.902,486.986,488.647,490.583,492.709,494.52,496.532,498.304,499.842,500.896,502.067,503.212,504.343,505.621,507.194,508.588,509.554,510.409,511.861,512.947,513.926,514.84,515.688,516.479
Latin America and the Caribbean,343.515,351.629,359.349,367.018,374.779,381.769,389.247,396.895,404.537,412.211,424.212,432.112,439.812,447.491,459.629,467.262,476.925,484.311,491.729,498.946,506.365,513.51,520.447,527.242,533.931,540.501,547.155,553.824,560.652,567.538,574.529,581.159,587.733,594.249,600.766,607.296,613.426,619.202,623.767,628.453,633.214,638.884,644.46,649.988,655.467
Major advanced economies (G7),612.155,616.177,619.745,623.047,626.158,629.495,633.018,636.492,640.455,644.988,650.576,656.304,661.437,666.419,670.818,675.088,679.272,683.517,687.619,691.661,695.9,700.177,704.357,708.459,712.561,716.849,720.923,725.157,729.367,733.165,736.807,740.653,744.055,747.657,751.522,755.479,759.368,762.466,765.4,768.788,771.635,774.362,777.029,779.627,782.184
Middle East and North Africa,173.769,179.571,185.374,191.4,197.947,204.658,211.285,217.086,223.249,229.286,248.841,254.834,261.495,267.56,274.052,278.402,284.228,290.034,295.981,301.837,308.211,314.684,321.175,353.936,361.713,369.993,378.932,388.061,398.431,407.091,415.828,394.434,405.329,415.156,425.981,434.615,443.405,455.284,464.5,473.705,482.773,491.873,500.997,510.245,520.694
"Middle East, North Africa, Afghanistan, and Pakistan",254.148,262.326,270.578,279.051,288.045,297.223,306.357,314.682,323.4,332.012,354.541,362.874,374.105,383.1,392.552,399.882,408.718,417.544,426.541,435.447,444.851,476.273,486.548,523.802,535.381,547.383,559.933,572.848,590.385,603.275,616.361,599.452,614.936,629.418,644.929,658.222,671.621,688.074,701.48,714.944,728.343,741.868,755.493,769.315,784.415
Other advanced economies,112.613,114.144,115.692,117.068,118.324,119.461,120.568,121.761,123.098,124.395,125.794,127.362,128.774,130.141,131.56,143.355,144.786,146.057,147.233,148.313,149.57,151.129,152.093,152.952,153.85,154.762,156.022,157.381,159.069,160.547,161.741,163.099,164.463,165.696,167.023,168.336,169.707,170.863,172.089,173.335,174.607,175.861,177.115,178.369,179.637
Sub-Saharan Africa,341.114,350.616,360.773,371.288,382.245,394.256,405.647,417.312,429.017,443.001,461.928,475.612,492.84,507.224,521.122,535.613,549.955,564.138,578.832,594.048,610.846,627.384,645.427,667.116,686.621,706.749,725.85,745.553,764.889,784.607,805.211,836.22,858.218,880.045,902.485,925.38,948.955,973.537,998.178,1023.408,1049.241,1075.591,1102.874,1130.829,1159.778
World,3996.889,4068.768,4143.204,4215.467,4289.257,4365.685,4443.956,4523.657,4603.678,4834.096,5013.698,5106.018,5256.873,5344.269,5427.477,5518.857,5604.266,5689.508,5811.82,5888.765,5967.871,6066.146,6143.263,6250.483,6329.782,6409.39,6488.289,6568.439,6652.394,6732.214,6812.784,6875.284,6960.2,7043.154,7125.932,7209.542,7294.573,7381.548,7462.22,7544.538,7626.69,7709.984,7793.815,7875.27,7959.175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
